Date,Actual Revenue,Fitted Revenue
1/31/2023 0:00,261.9896982,288.7549722
2/28/2023 0:00,255.5347147,290.6015279
3/31/2023 0:00,456.8003419,292.0669058
4/30/2023 0:00,419.9479947,292.7887327
5/31/2023 0:00,265.119247,293.0856195
6/30/2023 0:00,254.2099913,293.114632
7/31/2023 0:00,246.0492713,295.0005245
8/31/2022 0:00,257.5796658,296.5100793
9/30/2023 0:00,255.1751266,299.1989711
10/31/2023 0:00,228.5239468,298.9465091
11/30/2023 0:00,260.4850544,300.7880792
12/31/2023 0:00,292.7737855,302.0087719
